Repository,Language,Stars,Last Updated,Description
aikorea/awesome-rl,Unknown,8906,2025-01-06,Reinforcement learning resources curated
paralax/awesome-honeypots,Python,8784,2025-01-06,an awesome list of honeypot resources
Blankj/awesome-java-leetcode,Java,8705,2025-01-06,:crown: LeetCode of algorithms with java solution(updating).
mehdihadeli/awesome-software-architecture,Unknown,8700,2025-01-06,"🚀 A curated list of awesome articles, videos, and other resources to learn and practice software architecture, patterns, and principles."
emacs-tw/awesome-emacs,Unknown,8655,2025-01-06,"A community driven list of useful Emacs packages, libraries and other items."
rothgar/awesome-tuis,Unknown,8525,2025-01-06,List of projects that provide terminal user interfaces
davidsonfellipe/awesome-wpo,JavaScript,8411,2025-01-06,:pencil: A curated list of Web Performance Optimization. Everyone can contribute here!
ashishb/android-security-awesome,Shell,8312,2025-01-06,A collection of android security related resources
hslatman/awesome-threat-intelligence,Unknown,8281,2025-01-06,A curated list of Awesome Threat Intelligence resources
humanloop/awesome-chatgpt,Unknown,8213,2025-01-05,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3"
troxler/awesome-css-frameworks,CSS,8171,2025-01-05,List of awesome CSS frameworks in 2025
awesome-lists/awesome-bash,Shell,8077,2025-01-06,A curated list of delightful Bash scripts and resources.
edoardottt/awesome-hacker-search-engines,Shell,8069,2025-01-06,"A curated list of awesome search engines useful during Penetration testing, Vulnerability assessments, Red/Blue Team operations, Bug Bounty and more"
NirantK/awesome-project-ideas,Unknown,8005,2025-01-06,"Curated list of Machine Learning, NLP, Vision, Recommender Systems Project Ideas"
rothgar/awesome-tmux,Unknown,7969,2025-01-06,A list of awesome resources for tmux
olucurious/Awesome-ARKit,Swift,7885,2025-01-05,A curated list of awesome ARKit projects and resources. Feel free to contribute!
crownpku/Awesome-Chinese-NLP,Unknown,7836,2025-01-06,A curated list of resources for Chinese NLP 中文自然语言处理相关资料
kyrolabs/awesome-langchain,Unknown,7793,2025-01-06,😎 Awesome list of tools and projects with the awesome LangChain framework
meirwah/awesome-incident-response,Unknown,7773,2025-01-06,A curated list of tools for incident response
jobbole/awesome-javascript-cn,Unknown,7771,2025-01-05,JavaScript 资源大全中文版，内容包括：包管理器、加载器、测试框架、运行器、QA、MVC框架和库、模板引擎等。由「开源前哨」和「前端大全」微信公号团队维护更新。
bnb/awesome-developer-streams,Unknown,7755,2025-01-06,"👩🏿‍💻👨🏾‍💻👩🏼‍💻👨🏽‍💻👩🏻‍💻 Awesome Developers, Streaming"
grpc-ecosystem/awesome-grpc,Unknown,7709,2025-01-06,A curated list of useful resources for gRPC
iptv-org/awesome-iptv,Unknown,7631,2025-01-06,A curated list of resources related to IPTV
anaibol/awesome-serverless,Unknown,7464,2025-01-04,":cloud: A curated list of awesome services, solutions and resources for serverless / nobackend applications."
detailyang/awesome-cheatsheet,Python,7441,2025-01-06,:beers: awesome cheatsheet
amusi/awesome-object-detection,Unknown,7433,2025-01-05,Awesome Object Detection based on handong1587 github: https://handong1587.github.io/deep_learning/2015/10/09/object-detection.html
jivoi/awesome-ml-for-cybersecurity,Unknown,7338,2025-01-05, :octocat: Machine Learning for Cyber Security
hwayne/awesome-cold-showers,Unknown,7282,2025-01-02,For when people get too hyped up about things
greatfrontend/awesome-front-end-system-design,Unknown,7214,2025-01-06,Curated front end system design resources for interviews and learning
godotengine/awesome-godot,Unknown,7196,2025-01-06,"A curated list of free/libre plugins, scripts and add-ons for Godot"
Lissy93/awesome-privacy,Astro,7131,2025-01-06,🦄  A curated list of privacy & security-focused software and services
jobbole/awesome-go-cn,Unknown,7074,2025-01-03,Go 资源大全中文版， 内容包括：Web框架、模板引擎、表单、身份认证、数据库、ORM框架、图片处理、文本处理、自然语言处理、机器学习、日志、代码分析、教程和（电子）书等。由「开源前哨」和「Go开发大全」微信团队维护。
yeyintminthuhtut/Awesome-Red-Teaming,Unknown,7008,2025-01-06,List of Awesome Red Teaming Resources
kmaasrud/awesome-obsidian,CSS,6960,2025-01-06,🕶️ Awesome stuff for Obsidian
